customer_id,split,actual_subscription,subscription_label,predicted_probability,predicted_probability_x10000,predicted_probability_display,score_rank,score_percentile,selected_policy_flag,recommendation_group,score_band,score_band_tableau,age,job,marital,education,contact,month,campaign,previous,poutcome,recommended_top_5,recommended_top_10,recommended_top_15,recommended_top_20,recommended_top_25,recommended_top_30,predicted_label_0_5
test_003751,test,1,Subscribed,0.9711341,9711,97.11%,14,0.996701344836336,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,24,student,single,high.school,cellular,sep,2,2,success,1,1,1,1,1,1,1
test_001399,test,1,Subscribed,0.9703827,9704,97.04%,15,0.9964476021314388,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,34,admin.,single,university.degree,cellular,mar,2,1,success,1,1,1,1,1,1,1
test_001372,test,0,Did Not Subscribe,0.9702257,9702,97.02%,16,0.9961938594265416,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,30,technician,single,professional.course,cellular,sep,1,1,success,1,1,1,1,1,1,1
test_000753,test,1,Subscribed,0.970089,9701,97.01%,17,0.9959401167216444,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,33,admin.,single,university.degree,cellular,apr,1,2,success,1,1,1,1,1,1,1
test_001071,test,1,Subscribed,0.97001934,9700,97.00%,18,0.995686374016747,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,27,admin.,single,university.degree,cellular,apr,1,1,success,1,1,1,1,1,1,1
test_001717,test,1,Subscribed,0.9699892,9700,97.00%,19,0.9954326313118498,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,31,admin.,single,university.degree,cellular,jul,2,2,success,1,1,1,1,1,1,1
test_002795,test,1,Subscribed,0.9699117,9699,96.99%,20,0.9951788886069526,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,29,admin.,single,university.degree,cellular,jun,1,3,success,1,1,1,1,1,1,1
test_001393,test,1,Subscribed,0.9690778,9691,96.91%,21,0.9949251459020552,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,36,management,married,university.degree,cellular,jun,1,2,success,1,1,1,1,1,1,1
test_001718,test,1,Subscribed,0.968966,9690,96.90%,22,0.994671403197158,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,35,technician,single,professional.course,cellular,jul,1,1,success,1,1,1,1,1,1,1
test_002183,test,1,Subscribed,0.9689088,9689,96.89%,23,0.9944176604922608,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,63,retired,married,professional.course,cellular,may,2,1,success,1,1,1,1,1,1,1
test_003096,test,1,Subscribed,0.96889335,9689,96.89%,24,0.9941639177873636,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,29,technician,single,professional.course,cellular,jun,2,1,success,1,1,1,1,1,1,1
test_002182,test,1,Subscribed,0.9685185,9685,96.85%,25,0.9939101750824664,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,29,admin.,single,high.school,cellular,jul,3,1,success,1,1,1,1,1,1,1
test_000562,test,1,Subscribed,0.96844864,9684,96.84%,26,0.9936564323775692,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,35,technician,single,professional.course,cellular,jul,1,2,success,1,1,1,1,1,1,1
test_002369,test,1,Subscribed,0.96799904,9680,96.80%,27,0.993402689672672,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,30,student,single,unknown,telephone,mar,1,2,success,1,1,1,1,1,1,1
test_002265,test,1,Subscribed,0.96724164,9672,96.72%,28,0.9931489469677748,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,34,technician,married,high.school,cellular,jun,1,4,success,1,1,1,1,1,1,1
test_003627,test,1,Subscribed,0.9671427,9671,96.71%,29,0.9928952042628776,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,75,retired,divorced,high.school,telephone,apr,1,2,success,1,1,1,1,1,1,1
test_002347,test,1,Subscribed,0.96705395,9671,96.71%,30,0.9926414615579802,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,42,technician,married,university.degree,cellular,aug,3,2,success,1,1,1,1,1,1,1
test_000083,test,1,Subscribed,0.9668983,9669,96.69%,31,0.992387718853083,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,30,student,single,professional.course,cellular,sep,2,1,success,1,1,1,1,1,1,1
test_000248,test,1,Subscribed,0.9666376,9666,96.66%,32,0.9921339761481858,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,50,housemaid,married,basic.6y,cellular,jul,3,2,success,1,1,1,1,1,1,1
test_003079,test,1,Subscribed,0.966521,9665,96.65%,33,0.9918802334432884,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,78,retired,married,unknown,cellular,mar,1,2,success,1,1,1,1,1,1,1
test_003731,test,1,Subscribed,0.9660922,9661,96.61%,34,0.9916264907383912,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,41,admin.,married,unknown,cellular,sep,1,3,success,1,1,1,1,1,1,1
test_003630,test,1,Subscribed,0.96546614,9655,96.55%,35,0.991372748033494,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,80,retired,divorced,unknown,cellular,nov,2,1,success,1,1,1,1,1,1,1
test_001517,test,1,Subscribed,0.96535814,9654,96.54%,36,0.9911190053285968,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,26,technician,single,university.degree,cellular,dec,1,1,success,1,1,1,1,1,1,1
test_000526,test,1,Subscribed,0.96444714,9644,96.44%,37,0.9908652626236996,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,24,technician,single,professional.course,cellular,jul,2,1,success,1,1,1,1,1,1,1
test_002261,test,1,Subscribed,0.96427244,9643,96.43%,38,0.9906115199188024,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,84,retired,divorced,unknown,cellular,sep,1,2,success,1,1,1,1,1,1,1
test_000543,test,1,Subscribed,0.9640756,9641,96.41%,39,0.990357777213905,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,77,management,married,unknown,cellular,aug,1,6,success,1,1,1,1,1,1,1
test_002614,test,1,Subscribed,0.9640066,9640,96.40%,40,0.990104034509008,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,30,student,single,unknown,cellular,dec,1,2,success,1,1,1,1,1,1,1
test_002685,test,1,Subscribed,0.96394104,9639,96.39%,41,0.9898502918041108,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,76,retired,married,university.degree,cellular,dec,3,2,success,1,1,1,1,1,1,1
test_001980,test,1,Subscribed,0.96341425,9634,96.34%,42,0.9895965490992134,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,34,admin.,single,university.degree,cellular,nov,1,2,success,1,1,1,1,1,1,1
test_000791,test,0,Did Not Subscribe,0.96324325,9632,96.32%,43,0.9893428063943162,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,27,admin.,single,university.degree,cellular,oct,1,2,success,1,1,1,1,1,1,1
test_003389,test,1,Subscribed,0.96281683,9628,96.28%,44,0.989089063689419,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,67,housemaid,divorced,professional.course,cellular,aug,1,2,success,1,1,1,1,1,1,1
test_003864,test,1,Subscribed,0.96276367,9628,96.28%,45,0.9888353209845216,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,61,admin.,married,university.degree,telephone,aug,1,2,success,1,1,1,1,1,1,1
test_000160,test,1,Subscribed,0.9616223,9616,96.16%,46,0.9885815782796245,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,31,admin.,single,high.school,cellular,sep,2,2,success,1,1,1,1,1,1,1
test_001945,test,1,Subscribed,0.96134645,9613,96.13%,47,0.9883278355747273,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,70,retired,married,professional.course,cellular,oct,1,3,success,1,1,1,1,1,1,1
test_003551,test,1,Subscribed,0.96066827,9607,96.07%,48,0.98807409286983,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,45,management,married,unknown,cellular,apr,3,1,success,1,1,1,1,1,1,1
test_001928,test,1,Subscribed,0.95988786,9599,95.99%,49,0.9878203501649327,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,23,student,single,high.school,telephone,mar,1,1,success,1,1,1,1,1,1,1
test_000767,test,1,Subscribed,0.9598628,9599,95.99%,50,0.9875666074600356,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,28,services,single,basic.6y,cellular,jun,2,1,success,1,1,1,1,1,1,1
test_000975,test,0,Did Not Subscribe,0.95904285,9590,95.90%,51,0.9873128647551382,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,30,self-employed,single,university.degree,cellular,dec,2,1,success,1,1,1,1,1,1,1
test_000206,test,1,Subscribed,0.9590043,9590,95.90%,52,0.987059122050241,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,42,blue-collar,married,professional.course,cellular,oct,1,1,success,1,1,1,1,1,1,1
test_001714,test,1,Subscribed,0.9575686,9576,95.76%,53,0.9868053793453438,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,57,admin.,divorced,high.school,cellular,sep,1,5,success,1,1,1,1,1,1,1
test_001782,test,0,Did Not Subscribe,0.9574799,9575,95.75%,54,0.9865516366404464,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,25,unemployed,single,high.school,cellular,aug,1,3,success,1,1,1,1,1,1,1
test_003892,test,0,Did Not Subscribe,0.9574464,9574,95.74%,55,0.9862978939355492,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,39,blue-collar,married,basic.6y,telephone,jul,1,1,success,1,1,1,1,1,1,1
test_003919,test,1,Subscribed,0.9569459,9569,95.69%,56,0.986044151230652,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,35,unemployed,married,university.degree,cellular,oct,1,1,success,1,1,1,1,1,1,1
test_000733,test,1,Subscribed,0.95667046,9567,95.67%,57,0.9857904085257548,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,41,admin.,divorced,university.degree,cellular,jul,1,2,success,1,1,1,1,1,1,1
test_000482,test,1,Subscribed,0.9553972,9554,95.54%,58,0.9855366658208576,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,29,admin.,single,university.degree,cellular,sep,2,3,success,1,1,1,1,1,1,1
test_000263,test,0,Did Not Subscribe,0.95371616,9537,95.37%,59,0.9852829231159604,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,30,student,single,high.school,cellular,apr,3,1,success,1,1,1,1,1,1,1
test_001001,test,1,Subscribed,0.9532009,9532,95.32%,60,0.9850291804110632,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,31,student,single,university.degree,cellular,aug,4,2,success,1,1,1,1,1,1,1
test_002000,test,1,Subscribed,0.95223355,9522,95.22%,61,0.984775437706166,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,31,admin.,single,high.school,cellular,apr,1,1,success,1,1,1,1,1,1,1
test_002583,test,0,Did Not Subscribe,0.9521702,9522,95.22%,62,0.9845216950012688,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,26,management,single,university.degree,cellular,oct,1,1,success,1,1,1,1,1,1,1
test_001422,test,1,Subscribed,0.9520376,9520,95.20%,63,0.9842679522963714,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,57,admin.,married,university.degree,cellular,nov,1,2,success,1,1,1,1,1,1,1
test_000580,test,1,Subscribed,0.95138294,9514,95.14%,64,0.9840142095914742,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,68,retired,divorced,high.school,cellular,oct,1,1,success,1,1,1,1,1,1,1
test_003553,test,1,Subscribed,0.95048434,9505,95.05%,65,0.983760466886577,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,56,retired,married,professional.course,cellular,oct,1,1,success,1,1,1,1,1,1,1
test_001038,test,1,Subscribed,0.9504599,9505,95.05%,66,0.9835067241816796,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,37,technician,married,professional.course,cellular,apr,1,1,success,1,1,1,1,1,1,1
test_000043,test,1,Subscribed,0.950328,9503,95.03%,67,0.9832529814767824,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,36,management,single,university.degree,cellular,jun,2,1,success,1,1,1,1,1,1,1
test_002445,test,1,Subscribed,0.95004225,9500,95.00%,68,0.9829992387718852,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,24,admin.,single,university.degree,cellular,oct,3,2,success,1,1,1,1,1,1,1
test_003724,test,0,Did Not Subscribe,0.9492673,9493,94.93%,69,0.982745496066988,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,28,admin.,single,university.degree,cellular,apr,1,1,success,1,1,1,1,1,1,1
test_002287,test,1,Subscribed,0.9484161,9484,94.84%,70,0.9824917533620908,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,49,admin.,married,high.school,cellular,oct,1,3,success,1,1,1,1,1,1,1
test_001965,test,0,Did Not Subscribe,0.94805384,9481,94.81%,71,0.9822380106571936,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,29,blue-collar,single,basic.9y,telephone,jun,1,2,success,1,1,1,1,1,1,1
test_002966,test,1,Subscribed,0.9478984,9479,94.79%,72,0.9819842679522964,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,60,retired,married,university.degree,cellular,dec,3,2,success,1,1,1,1,1,1,1
test_001649,test,1,Subscribed,0.94753414,9475,94.75%,73,0.9817305252473992,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,32,admin.,married,professional.course,cellular,oct,1,1,success,1,1,1,1,1,1,1
test_001660,test,1,Subscribed,0.94734657,9473,94.73%,74,0.981476782542502,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,22,student,single,basic.9y,cellular,oct,2,1,success,1,1,1,1,1,1,1
test_001338,test,1,Subscribed,0.94733727,9473,94.73%,75,0.9812230398376046,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,48,management,married,university.degree,cellular,oct,1,1,success,1,1,1,1,1,1,1
test_001884,test,1,Subscribed,0.947214,9472,94.72%,76,0.9809692971327074,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,24,admin.,single,high.school,cellular,jul,1,1,success,1,1,1,1,1,1,1
test_000521,test,1,Subscribed,0.9459295,9459,94.59%,77,0.9807155544278102,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,42,blue-collar,married,basic.6y,cellular,mar,1,3,failure,1,1,1,1,1,1,1
test_003395,test,1,Subscribed,0.9459039,9459,94.59%,78,0.9804618117229128,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,33,admin.,married,university.degree,cellular,oct,2,1,success,1,1,1,1,1,1,1
test_000082,test,1,Subscribed,0.944735,9447,94.47%,79,0.9802080690180156,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,29,admin.,single,high.school,cellular,sep,2,1,success,1,1,1,1,1,1,1
test_003409,test,1,Subscribed,0.94418544,9442,94.42%,80,0.9799543263131184,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,37,housemaid,married,university.degree,cellular,oct,2,2,success,1,1,1,1,1,1,1
test_001761,test,1,Subscribed,0.94400907,9440,94.40%,81,0.9797005836082212,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,34,admin.,single,university.degree,cellular,sep,3,2,success,1,1,1,1,1,1,1
test_002805,test,1,Subscribed,0.9437469,9437,94.37%,82,0.979446840903324,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,30,management,married,university.degree,cellular,apr,1,1,success,1,1,1,1,1,1,1
test_003217,test,1,Subscribed,0.94305426,9431,94.31%,83,0.9791930981984268,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,43,technician,married,high.school,cellular,sep,1,1,success,1,1,1,1,1,1,1
test_002010,test,1,Subscribed,0.9428335,9428,94.28%,84,0.9789393554935296,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,28,technician,single,professional.course,cellular,jun,1,1,success,1,1,1,1,1,1,1
test_001947,test,1,Subscribed,0.94242334,9424,94.24%,85,0.9786856127886324,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,27,management,single,professional.course,cellular,nov,1,1,success,1,1,1,1,1,1,1
test_001602,test,1,Subscribed,0.9408583,9409,94.09%,86,0.9784318700837352,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,30,technician,married,professional.course,cellular,oct,1,2,success,1,1,1,1,1,1,1
test_000144,test,0,Did Not Subscribe,0.9407506,9408,94.08%,87,0.978178127378838,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,49,admin.,divorced,university.degree,cellular,jun,1,1,success,1,1,1,1,1,1,1
test_003801,test,1,Subscribed,0.94055873,9406,94.06%,88,0.9779243846739406,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,30,technician,unknown,university.degree,cellular,mar,2,2,success,1,1,1,1,1,1,1
test_001275,test,0,Did Not Subscribe,0.9405253,9405,94.05%,89,0.9776706419690434,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,36,services,married,high.school,cellular,oct,1,1,success,1,1,1,1,1,1,1
test_002840,test,0,Did Not Subscribe,0.9389184,9389,93.89%,90,0.977416899264146,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,20,services,single,unknown,cellular,mar,3,3,success,1,1,1,1,1,1,1
test_001398,test,0,Did Not Subscribe,0.9388203,9388,93.88%,91,0.9771631565592488,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,40,technician,single,university.degree,cellular,nov,1,1,success,1,1,1,1,1,1,1
test_003292,test,0,Did Not Subscribe,0.93877786,9388,93.88%,92,0.9769094138543516,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,63,unknown,married,professional.course,cellular,oct,1,1,success,1,1,1,1,1,1,1
test_001130,test,1,Subscribed,0.9372031,9372,93.72%,93,0.9766556711494544,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,53,admin.,single,university.degree,cellular,jun,2,1,success,1,1,1,1,1,1,1
test_003904,test,0,Did Not Subscribe,0.93681043,9368,93.68%,94,0.9764019284445572,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,37,unemployed,married,university.degree,telephone,jun,3,2,success,1,1,1,1,1,1,1
test_000018,test,1,Subscribed,0.9365728,9366,93.66%,95,0.97614818573966,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,23,unemployed,single,basic.9y,cellular,oct,1,1,success,1,1,1,1,1,1,1
test_002086,test,0,Did Not Subscribe,0.9354926,9355,93.55%,96,0.9758944430347628,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,65,retired,married,high.school,cellular,oct,5,1,success,1,1,1,1,1,1,1
test_002868,test,0,Did Not Subscribe,0.93535376,9354,93.54%,97,0.9756407003298656,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,28,unemployed,single,high.school,cellular,dec,3,3,success,1,1,1,1,1,1,1
test_003159,test,1,Subscribed,0.93437546,9344,93.44%,98,0.9753869576249684,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,53,admin.,single,university.degree,cellular,apr,1,1,success,1,1,1,1,1,1,1
test_002370,test,1,Subscribed,0.9341941,9342,93.42%,99,0.9751332149200712,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,46,housemaid,single,university.degree,cellular,jun,1,1,success,1,1,1,1,1,1,1
test_000077,test,1,Subscribed,0.9333445,9333,93.33%,100,0.9748794722151738,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,80,retired,married,illiterate,cellular,aug,1,1,success,1,1,1,1,1,1,1
test_001817,test,1,Subscribed,0.9325576,9326,93.26%,101,0.9746257295102766,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,34,admin.,single,university.degree,cellular,mar,1,0,nonexistent,1,1,1,1,1,1,1
test_001981,test,1,Subscribed,0.93187094,9319,93.19%,102,0.9743719868053794,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,33,management,married,university.degree,telephone,aug,1,2,success,1,1,1,1,1,1,1
test_001478,test,0,Did Not Subscribe,0.9315194,9315,93.15%,103,0.974118244100482,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,49,technician,divorced,unknown,cellular,oct,1,1,success,1,1,1,1,1,1,1
test_002677,test,1,Subscribed,0.93066865,9307,93.07%,104,0.9738645013955848,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,37,unemployed,married,university.degree,cellular,jun,3,2,success,1,1,1,1,1,1,1
test_002353,test,0,Did Not Subscribe,0.9275297,9275,92.75%,105,0.9736107586906876,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,47,housemaid,single,professional.course,cellular,jun,1,1,success,1,1,1,1,1,1,1
test_001794,test,0,Did Not Subscribe,0.9261764,9262,92.62%,106,0.9733570159857904,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,68,retired,married,basic.4y,cellular,apr,1,0,nonexistent,1,1,1,1,1,1,1
test_000012,test,1,Subscribed,0.92433333,9243,92.43%,107,0.9731032732808932,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,47,admin.,married,high.school,cellular,aug,2,1,success,1,1,1,1,1,1,1
test_000667,test,1,Subscribed,0.9233332,9233,92.33%,108,0.972849530575996,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,30,admin.,single,university.degree,cellular,apr,1,1,success,1,1,1,1,1,1,1
test_002147,test,0,Did Not Subscribe,0.92301726,9230,92.30%,109,0.9725957878710988,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,28,technician,married,high.school,cellular,sep,1,1,success,1,1,1,1,1,1,1
test_000769,test,1,Subscribed,0.9210273,9210,92.10%,110,0.9723420451662016,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,61,retired,married,basic.4y,cellular,nov,1,3,failure,1,1,1,1,1,1,1
test_003273,test,1,Subscribed,0.92032444,9203,92.03%,111,0.9720883024613044,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,24,technician,married,professional.course,cellular,jul,4,1,success,1,1,1,1,1,1,1
test_001184,test,1,Subscribed,0.9184393,9184,91.84%,112,0.971834559756407,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,30,admin.,married,university.degree,cellular,aug,3,1,success,1,1,1,1,1,1,1
test_002035,test,1,Subscribed,0.91827464,9183,91.83%,113,0.9715808170515098,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,53,entrepreneur,married,basic.4y,cellular,apr,2,0,nonexistent,1,1,1,1,1,1,1
test_003457,test,0,Did Not Subscribe,0.9181245,9181,91.81%,114,0.9713270743466126,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,28,technician,single,university.degree,cellular,apr,1,0,nonexistent,1,1,1,1,1,1,1
test_003652,test,0,Did Not Subscribe,0.91726834,9173,91.73%,115,0.9710733316417152,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,27,admin.,single,university.degree,cellular,apr,1,0,nonexistent,1,1,1,1,1,1,1
test_001493,test,1,Subscribed,0.91507214,9151,91.51%,116,0.970819588936818,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,73,retired,married,basic.4y,cellular,jul,1,0,nonexistent,1,1,1,1,1,1,1
test_002793,test,1,Subscribed,0.9147308,9147,91.47%,117,0.9705658462319208,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,37,admin.,married,university.degree,cellular,nov,2,1,success,1,1,1,1,1,1,1
test_001993,test,1,Subscribed,0.9137369,9137,91.37%,118,0.9703121035270236,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,59,admin.,single,university.degree,cellular,aug,3,1,success,1,1,1,1,1,1,1
test_000824,test,1,Subscribed,0.9133816,9134,91.34%,119,0.9700583608221264,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,40,technician,single,university.degree,cellular,nov,2,1,success,1,1,1,1,1,1,1
test_000390,test,1,Subscribed,0.9132759,9133,91.33%,120,0.9698046181172292,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,54,admin.,married,university.degree,cellular,aug,2,1,success,1,1,1,1,1,1,1
test_001920,test,1,Subscribed,0.9125593,9126,91.26%,121,0.969550875412332,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,32,admin.,married,high.school,telephone,oct,1,0,nonexistent,1,1,1,1,1,1,1
test_003933,test,1,Subscribed,0.91206485,9121,91.21%,122,0.9692971327074348,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,80,retired,married,basic.4y,cellular,mar,1,0,nonexistent,1,1,1,1,1,1,1
test_003196,test,0,Did Not Subscribe,0.9108327,9108,91.08%,123,0.9690433900025376,1,Recommended: Top 20%,0.80 to 1.00,80% to 100%,29,services,single,high.school,cellular,jun,6,1,success,1,1,1,1,1,1,1
